,subject,spos_bins,repeats,recalled,adj_rec
0,MTK00007,1.0,1.0,0.6666666666666666,0.38528586593873215
1,MTK00007,2.0,1.0,0.25,0.31284866697488056
2,MTK00007,3.0,1.0,0.6666666666666666,0.2832625619249823
3,MTK00007,4.0,1.0,0.3333333333333333,0.27217799009200283
4,MTK00007,5.0,1.0,0.3333333333333333,0.29551486199575366
5,MTK00007,6.0,1.0,0.3333333333333333,0.28550576281468
6,MTK00007,7.0,1.0,0.5,0.3601203113941967
7,MTK00007,8.0,1.0,0.16666666666666666,0.42178116469517746
8,MTK00007,9.0,1.0,0.2333333333333333,0.6139217470427661
9,MTK00008,1.0,1.0,0.3333333333333333,0.38528586593873215
10,MTK00008,2.0,1.0,0.1,0.31284866697488056
11,MTK00008,3.0,1.0,0.2222222222222222,0.2832625619249823
12,MTK00008,4.0,1.0,0.0,0.27217799009200283
13,MTK00008,5.0,1.0,0.1,0.29551486199575366
14,MTK00008,6.0,1.0,0.125,0.28550576281468
15,MTK00008,7.0,1.0,0.41666666666666663,0.3601203113941967
16,MTK00008,8.0,1.0,0.16666666666666666,0.42178116469517746
17,MTK00008,9.0,1.0,0.3333333333333333,0.6139217470427661
18,MTK00011,1.0,1.0,0.8888888888888888,0.38528586593873215
19,MTK00011,2.0,1.0,0.875,0.31284866697488056
20,MTK00011,3.0,1.0,0.7777777777777777,0.2832625619249823
21,MTK00011,4.0,1.0,0.8888888888888888,0.27217799009200283
22,MTK00011,5.0,1.0,0.6666666666666666,0.29551486199575366
23,MTK00011,6.0,1.0,0.5555555555555555,0.28550576281468
24,MTK00011,7.0,1.0,1.0,0.36012031139419665
25,MTK00011,8.0,1.0,1.0,0.42178116469517746
26,MTK00011,9.0,1.0,1.0,0.6139217470427661
27,MTK00012,1.0,1.0,0.06666666666666667,0.38528586593873215
28,MTK00012,2.0,1.0,0.1,0.31284866697488056
29,MTK00012,3.0,1.0,0.0,0.2832625619249823
30,MTK00012,4.0,1.0,0.0,0.27217799009200283
31,MTK00012,5.0,1.0,0.16666666666666666,0.29551486199575366
32,MTK00012,6.0,1.0,0.5,0.28550576281468
33,MTK00012,7.0,1.0,0.5833333333333334,0.3601203113941967
34,MTK00012,8.0,1.0,0.5714285714285714,0.42178116469517746
35,MTK00012,9.0,1.0,0.38888888888888884,0.6139217470427661
36,MTK00023,1.0,1.0,0.3333333333333333,0.38528586593873215
37,MTK00023,2.0,1.0,0.375,0.31284866697488056
38,MTK00023,3.0,1.0,0.7777777777777777,0.2832625619249823
39,MTK00023,4.0,1.0,0.1111111111111111,0.27217799009200283
40,MTK00023,5.0,1.0,0.8,0.2955148619957537
41,MTK00023,6.0,1.0,0.5833333333333334,0.28550576281468
42,MTK00023,7.0,1.0,0.5,0.3601203113941967
43,MTK00023,8.0,1.0,0.7777777777777778,0.42178116469517746
44,MTK00023,9.0,1.0,0.7777777777777777,0.6139217470427661
45,MTK00031,1.0,1.0,0.5833333333333333,0.38528586593873215
46,MTK00031,2.0,1.0,0.6190476190476191,0.31284866697488056
47,MTK00031,3.0,1.0,0.38888888888888884,0.2832625619249823
48,MTK00031,4.0,1.0,0.16666666666666666,0.27217799009200283
49,MTK00031,5.0,1.0,1.0,0.2955148619957537
50,MTK00031,6.0,1.0,0.35714285714285715,0.28550576281468
51,MTK00031,7.0,1.0,0.75,0.3601203113941967
52,MTK00031,8.0,1.0,0.41666666666666663,0.42178116469517746
53,MTK00031,9.0,1.0,0.8333333333333334,0.6139217470427661
54,MTK00035,1.0,1.0,0.8333333333333334,0.38528586593873215
55,MTK00035,2.0,1.0,0.0,0.31284866697488056
56,MTK00035,3.0,1.0,0.38888888888888884,0.2832625619249823
57,MTK00035,4.0,1.0,0.0,0.27217799009200283
58,MTK00035,5.0,1.0,0.8333333333333334,0.2955148619957536
59,MTK00035,6.0,1.0,0.16666666666666666,0.28550576281468
60,MTK00035,7.0,1.0,0.5833333333333334,0.3601203113941967
61,MTK00035,8.0,1.0,1.0,0.42178116469517746
62,MTK00035,9.0,1.0,0.8333333333333333,0.6139217470427661
63,MTK00036,1.0,1.0,0.6666666666666666,0.38528586593873215
64,MTK00036,2.0,1.0,0.5,0.31284866697488056
65,MTK00036,3.0,1.0,0.27777777777777773,0.2832625619249823
66,MTK00036,4.0,1.0,0.8333333333333334,0.27217799009200283
67,MTK00036,5.0,1.0,0.3055555555555555,0.29551486199575366
68,MTK00036,6.0,1.0,0.3333333333333333,0.28550576281468
69,MTK00036,7.0,1.0,0.7333333333333334,0.3601203113941967
70,MTK00036,8.0,1.0,0.8888888888888888,0.42178116469517746
71,MTK00036,9.0,1.0,0.5555555555555555,0.6139217470427661
72,MTK00040,1.0,1.0,0.41666666666666663,0.38528586593873215
73,MTK00040,2.0,,,
