,lag,prob
0,-8,0.030303030303030304
1,-7,0.06666666666666667
2,-6,0.052941176470588235
3,-5,0.04597701149425287
4,-4,0.030357142857142857
5,-3,0.09857152763331252
6,-2,0.12376623376623376
7,-1,0.17549732138080718
8,0,
9,1,0.35431671031572815
10,2,0.23509149029982365
11,3,0.1129251700680272
12,4,0.023752012882447663
13,5,0.0
14,6,0.034210526315789476
15,7,0.08333333333333333
16,8,0.0
17,-8,0.0
18,-7,0.012820512820512822
19,-6,0.015873015873015872
20,-5,0.07994579945799458
21,-4,0.009009009009009009
22,-3,0.05809462405207086
23,-2,0.13439732581765748
24,-1,0.20974658869395713
25,0,
26,1,0.45741293639976055
27,2,0.15284780578898227
28,3,0.06536962611131408
29,4,0.027777777777777776
30,5,0.013888888888888888
31,6,0.0625
32,7,0.0
33,8,0.047619047619047616
34,-8,0.2
35,-7,0.0
36,-6,0.2
37,-5,0.0
38,-4,0.0
39,-3,0.09090909090909091
40,-2,0.06666666666666667
41,-1,0.25
42,0,
43,1,0.2857142857142857
44,2,0.21428571428571427
45,3,0.0
46,4,0.09090909090909091
47,5,0.0
48,6,0.0
49,7,0.0
50,8,0.0
51,-8,0.0
52,-7,0.18181818181818182
53,-6,0.0
54,-5,0.0625
55,-4,0.0
56,-3,0.08823529411764706
57,-2,0.024390243902439025
58,-1,0.34146341463414637
59,0,
60,1,0.27906976744186046
61,2,0.12195121951219512
62,3,0.08108108108108109
63,4,0.1
64,5,0.05555555555555555
65,6,0.09090909090909091
66,7,0.0
67,8,0.0
68,-8,0.0
69,-7,0.07692307692307693
70,-6,0.041666666666666664
71,-5,0.0
72,-4,0.029411764705882353
73,-3,0.09222222222222223
74,-2,0.11692307692307694
75,-1,0.24941451990632318
76,0,
77,1,0.32991803278688525
78,2,0.13141025641025642
79,3,0.10892857142857143
80,4,0.03125
81,5,0.027777777777777776
82,6,0.03333333333333333
83,7,0.05555555555555555
84,8,0.0
85,-8,0.0
86,-7,0.0
87,-6,0.15384615384615385
88,-5,0.041666666666666664
89,-4,0.06451612903225806
90,-3,0.07692307692307693
91,-2,0.13043478260869565
92,-1,0.27906976744186046
93,0,
94,1,0.2826086956521739
95,2,0.125
96,3,0.10810810810810811
97,4,0.0
98,5,0.0
99,6,0.1
100,7,0.0
101,8,0.0
102,-8,0.0
103,-7,0.0
104,-6,0.0
105,-5,0.05555555555555555
106,-4,0.12
107,-3,0.1111111111111111
108,-2,0.18421052631578946
109,-1,0.21621621621621623
110,0,
111,1,0.35
112,2,0.08823529411764706
113,3,0.02631578947368421
114,4,0.0
115,5,0.07142857142857142
116,6,0.0
117,7,0.0
118,8,0.0
119,-8,0.0
120,-7,0.0
121,-6,0.07692307692307693
122,-5,0.0
123,-4,0.08695652173913043
124,-3,0.0
125,-2,0.0967741935483871
126,-1,0.26666666666666666
127,0,
128,1,0.4857142857142857
129,2,0.08333333333333333
130,3,0.0
131,4,0.043478260869565216
132,5,0.0
133,6,0.0
134,7,0.0
135,8,0.0
136,-8,0.0
137,-7,0.0462962962962963
138,-6,0.021910919540229886
139,-5,0.03257575757575757
140,-4,0.0
141,-3,0.052752840662676735
142,-2,0.11198373698373698
143,-1,0.11390602944141964
144,0,
145,1,0.5669174577433583
146,2,0.11383607029674446
147,3,0.0839766081871345
148,4,0.06054778554778555
149,5,0.0249554367201426
150,6,0.04938271604938271
151,7,0.0196078431372549
152,8,0.0
153,-8,0.0
154,-7,0.030303030303030304
155,-6,0.06666666666666667
156,-5,0.03504273504273504
157,-4,0.0702020202020202
158,-3,0.06605691056910569
159,-2,0.17239623121976064
160,-1,0.2949494949494949
161,0,
162,1,0.3046773949029588
163,2,0.12443310657596372
164,3,0.07056182121971595
165,4,0.01075268817204301
166,5,0.041666666666666664
167,6,0.07638888888888888
168,7,0.0
169,8,0.0
170,-8,0.0
171,-7,0.0
172,-6,0.037037037037037035
173,-5,0.0
174,-4,0.027777777777777776
175,-3,0.07794486215538847
176,-2,0.1554001554001554
177,-1,0.21856419546636938
178,0,
179,1,0.3764056347176552
180,2,0.11845376845376847
181,3,0.09953703703703703
182,4,0.06882591093117409
183,5,0.0
184,6,0.05555555555555555
185,7,0.041666666666666664
186,8,0.05555555555555555
187,-8,0.0
188,-7,0.0
189,-6,0.0
190,-5,0.0
191,-4,0.0
192,-3,0.06944444444444445
193,-2,0.09907407407407406
194,-1,0.27222222222222225
195,0,
196,1,0.3
197,2,0.15714285714285714
198,3,0.1970899470899471
199,4,0.029411764705882353
200,5,0.038461538461538464
201,6,0.0
202,7,0.0
203,8,0.0
204,-8,0.041666666666666664
205,-7,0.0
206,-6,0.175
207,-5,0.03333333333333333
208,-4,0.06971153846153846
209,-3,0.05416666666666667
210,-2,0.15192743764172334
211,-1,0.21666666666666667
212,0,
213,1,0.33088235294117646
214,2,0.16756272401433692
215,3,0.14583333333333331
216,4,0.04285714285714286
217,5,0.06628787878787878
218,6,0.045454545454545456
219,7,0.0
220,8,0.0
221,-8,0.07407407407407407
222,-7,0.048611111111111105
223,-6,0.0
224,-5,0.025987006496751622
225,-4,0.05634920634920635
226,-3,0.05561253561253562
227,-2,0.1306986877438314
228,-1,0.3547388414055081
229,0,
230,1,0.30414255866280937
231,2,0.1269112093580179
232,3,0.06332996292551399
233,4,0.022222222222222223
234,5,0.0
235,6,0.0196078431372549
236,7,0.0
237,8,0.0
238,-8,0.0
239,-7,0.03896103896103896
240,-6,0.0675595238095238
241,-5,0.038636363636363635
242,-4,0.07025171179582944
243,-3,0.11587885544407284
244,-2,0.08747193307031036
245,-1,0.25002505210838544
246,0,
247,1,0.2903745112414467
248,2,0.1025362439721816
249,3,0.06182539682539682
250,4,0.07784992784992785
251,5,0.1251017501017501
252,6,0.041666666666666664
253,7,0.020833333333333332
254,8,0.0
255,-8,0.0
256,-7,0.0
257,-6,0.0
258,-5,0.0
259,-4,0.13333333333333333
260,-3,0.08333333333333333
261,-2,0.11538461538461539
262,-1,0.25
263,0,
264,1,0.25
265,2,0.15789473684210525
266,3,0.11538461538461539
267,4,0.14285714285714285
268,5,0.045454545454545456
269,6,0.10526315789473684
270,7,0.0
271,8,0.08333333333333333
272,-8,0.0
273,-7,0.0
274,-6,0.0
275,-5,0.0
276,-4,0.0
277,-3,0.04738562091503268
278,-2,0.24
279,-1,0.320409982174688
280,0,
281,1,0.3146198830409357
282,2,0.0792156862745098
283,3,0.044444444444444446
284,4,0.15277777777777776
285,5,0.0
286,6,0.0
287,7,0.0
288,8,0.0
289,-8,0.0
290,-7,0.0
291,-6,0.020833333333333332
292,-5,0.09006410256410256
293,-4,0.016666666666666666
294,-3,0.1183296783625731
295,-2,0.09923245614035088
296,-1,0.28064102564102567
297,0,
298,1,0.36777777777777776
299,2,0.09092223846060163
300,3,0.04102167182662539
301,4,0.017857142857142856
302,5,0.0
303,6,0.09821428571428571
304,7,0.03571428571428571
305,8,0.14583333333333331
306,-8,0.011904761904761904
307,-7,0.0
308,-6,0.017857142857142856
309,-5,0.06407052213503826
310,-4,0.03957045388497001
311,-3,0.12706043956043955
312,-2,0.15879329004329004
313,-1,0.24269423985866034
314,0,
315,1,0.37773785111838976
316,2,0.14912525822802433
317,3,0.06769826574697675
318,4,0.04983766233766233
319,5,0.07867894632600515
320,6,0.052662037037037035
321,7,0.013157894736842105
322,8,0.06349206349206349
323,-8,0.12937062937062938
324,-7,0.09215686274509804
325,-6,0.0
326,-5,0.04
327,-4,0.035759897828863345
328,-3,0.12382149591451917
329,-2,0.15546421663442941
330,-1,0.1730072463768116
331,0,
332,1,0.40085106382978725
333,2,0.11736111111111111
334,3,0.06515679442508711
335,4,0.0625
336,5,0.0
337,6,0.0
338,7,0.0
339,8,0.0
340,-8,0.07692307692307693
341,-7,0.0
342,-6,0.0
343,-5,0.0
344,-4,0.0
345,-3,0.02857142857142857
346,-2,0.1794871794871795
347,-1,0.2619047619047619
348,0,
349,1,0.34782608695652173
350,2,0.12195121951219512
351,3,0.06666666666666667
352,4,0.15
353,5,0.0
354,6,0.06666666666666667
355,7,0.0
356,8,0.1111111111111111
357,-8,0.0
358,-7,0.0
359,-6,0.0
360,-5,0.043478260869565216
361,-4,0.13636363636363635
362,-3,0.05714285714285714
363,-2,0.16216216216216217
364,-1,0.2978723404255319
365,0,
366,1,0.3333333333333333
367,2,0.15384615384615385
368,3,0.03225806451612903
369,4,0.0
370,5,0.0
371,6,0.0
372,7,0.0
373,8,0.0
374,-8,0.0
375,-7,0.0
376,-6,0.0
377,-5,0.07142857142857142
378,-4,0.07692307692307693
379,-3,0.043478260869565216
380,-2,0.21052631578947367
381,-1,0.21739130434782608
382,0,
383,1,0.375
384,2,0.13043478260869565
385,3,0.058823529411764705
386,4,0.0
387,5,0.125
388,6,0.0
389,7,0.0
390,8,0.0
391,-8,0.0625
392,-7,0.0
393,-6,0.0
394,-5,0.0
395,-4,0.058823529411764705
396,-3,0.029411764705882353
397,-2,0.0
398,-1,0.14545454545454545
399,0,
400,1,0.6470588235294118
401,2,0.14285714285714285
402,3,0.11363636363636363
403,4,0.0
404,5,0.0
405,6,0.0
406,7,0.0
407,8,0.11764705882352941
408,-8,0.022222222222222223
409,-7,0.018518518518518517
410,-6,0.07639796659404502
411,-5,0.022988505747126436
412,-4,0.032974910394265235
413,-3,0.10985590527186452
414,-2,0.1337275651001141
415,-1,0.22668733745054684
416,0,
417,1,0.2953810405222514
418,2,0.15322372662798195
419,3,0.1270967741935484
420,4,0.08076818975911025
421,5,0.06198830409356725
422,6,0.09429824561403509
423,7,0.09953703703703703
424,8,0.0
425,-8,0.06666666666666667
426,-7,0.08333333333333334
427,-6,0.0
428,-5,0.1875
429,-4,0.06818181818181818
430,-3,0.08412698412698412
431,-2,0.19009100101112236
432,-1,0.30997079682937
433,0,
434,1,0.28516129032258064
435,2,0.07733619763694952
436,3,0.06458333333333333
437,4,0.03869047619047619
438,5,0.0
439,6,0.06521739130434782
440,7,0.0
441,8,0.07142857142857142
442,-8,0.0
443,-7,0.058823529411764705
444,-6,0.0
445,-5,0.0
446,-4,0.10714285714285714
447,-3,0.05
448,-2,0.13043478260869565
449,-1,0.11320754716981132
450,0,
451,1,0.38181818181818183
452,2,0.18181818181818182
453,3,0.06666666666666667
454,4,0.041666666666666664
455,5,0.23529411764705882
456,6,0.07692307692307693
457,7,0.0
458,8,0.0
459,-8,0.03571428571428571
460,-7,0.0
461,-6,0.025
462,-5,0.025
463,-4,0.0
464,-3,0.13567073170731708
465,-2,0.11655405405405406
466,-1,0.24735388863322597
467,0,
468,1,0.2942451714623571
469,2,0.13511029411764708
470,3,0.1298245614035088
471,4,0.06470588235294118
472,5,0.11324786324786325
473,6,0.10555555555555556
474,7,0.03571428571428571
475,8,0.0
476,-8,0.0
477,-7,0.0
478,-6,0.1
479,-5,0.0
480,-4,0.13043478260869565
481,-3,0.0
482,-2,0.3181818181818182
483,-1,0.35135135135135137
484,0,
485,1,0.09259259259259259
486,2,0.45
487,3,0.0
488,4,0.0
489,5,0.0
490,6,0.0
491,7,0.0
492,8,0.0
493,-8,0.0
494,-7,0.07142857142857142
495,-6,0.16666666666666666
496,-5,0.07692307692307693
497,-4,0.0
498,-3,0.025
499,-2,0.07142857142857142
500,-1,0.24193548387096775
501,0,
502,1,0.39705882352941174
503,2,0.17543859649122806
504,3,0.08163265306122448
505,4,0.05128205128205128
506,5,0.04
507,6,0.0
508,7,0.0
509,8,0.0
510,-8,0.0
511,-7,0.0
512,-6,0.0
513,-5,0.0
514,-4,0.10344827586206896
515,-3,0.06896551724137931
516,-2,0.1891891891891892
517,-1,0.18181818181818182
518,0,
519,1,0.2916666666666667
520,2,0.16666666666666666
521,3,0.10344827586206896
522,4,0.0
523,5,0.06666666666666667
524,6,0.0625
525,7,0.2
526,8,0.0
527,-8,0.0
528,-7,0.0
529,-6,0.06666666666666667
530,-5,0.0
531,-4,0.13793103448275862
532,-3,0.11428571428571428
533,-2,0.14285714285714285
534,-1,0.288135593220339
535,0,
536,1,0.3793103448275862
537,2,0.0784313725490196
538,3,0.06818181818181818
539,4,0.038461538461538464
540,5,0.0
541,6,0.0
542,7,0.0
543,8,0.07692307692307693
544,-8,0.0
545,-7,0.03571428571428571
546,-6,0.03125
547,-5,0.0
548,-4,0.027777777777777776
549,-3,0.018518518518518517
550,-2,0.11383928571428571
551,-1,0.25980392156862747
552,0,
553,1,0.2608359133126935
554,2,0.15490196078431373
555,3,0.16136363636363635
556,4,0.0748663101604278
557,5,0.0
558,6,0.125
559,7,0.05
560,8,0.0
561,-8,0.0
562,-7,0.0
563,-6,0.07894736842105263
564,-5,0.05263157894736842
565,-4,0.020833333333333332
566,-3,0.11010558069381599
567,-2,0.17914438502673796
568,-1,0.2988215488215488
569,0,
570,1,0.20277777777777778
571,2,0.12013729977116705
572,3,0.12
573,4,0.09903381642512077
574,5,0.043478260869565216
575,6,0.045454545454545456
576,7,0.2222222222222222
577,8,0.05555555555555555
578,-8,0.06468531468531469
579,-7,0.0492296918767507
580,-6,0.029166666666666664
581,-5,0.05688606495058108
582,-4,0.05752164502164502
583,-3,0.08606107995398332
584,-2,0.11468253968253968
585,-1,0.24719956530080528
586,0,
587,1,0.3560540402940536
588,2,0.1784540576794098
589,3,0.11767228574326871
590,4,0.0790034965034965
591,5,0.04256302521008403
592,6,0.041666666666666664
593,7,0.024705882352941175
594,8,0.017857142857142856
595,-8,0.0
596,-7,0.07142857142857142
597,-6,0.06818181818181818
598,-5,0.03333333333333333
599,-4,0.05128205128205128
600,-3,0.08912037037037038
601,-2,0.017857142857142856
602,-1,0.29594017094017094
603,0,
604,1,0.37254901960784315
605,2,0.15471923536439663
606,3,0.0440891472868217
607,4,0.0
608,5,0.09090909090909091
609,6,0.0625
610,7,0.058823529411764705
611,8,0.0
612,-8,0.0
613,-7,0.0
614,-6,0.043478260869565216
615,-5,0.07407407407407407
616,-4,0.08333333333333333
617,-3,0.09523809523809523
618,-2,0.1568627450980392
619,-1,0.1694915254237288
620,0,
621,1,0.3333333333333333
622,2,0.17543859649122806
623,3,0.044444444444444446
624,4,0.058823529411764705
625,5,0.10714285714285714
626,6,0.05
627,7,0.0
628,8,0.0
629,-8,0.0
630,-7,0.03333333333333333
631,-6,0.045454545454545456
632,-5,0.05263157894736842
633,-4,0.021739130434782608
634,-3,0.04292929292929293
635,-2,0.1319514661274014
636,-1,0.1538711776187378
637,0,
638,1,0.47832512315270936
639,2,0.08132343846629561
640,3,0.08867521367521368
641,4,0.037037037037037035
642,5,0.05572755417956656
643,6,0.09090909090909091
644,7,0.045454545454545456
645,8,0.08333333333333333
646,-8,0.027777777777777776
647,-7,0.1047008547008547
648,-6,0.0
649,-5,0.034482758620689655
650,-4,0.046875
651,-3,0.07827260458839405
652,-2,0.12087912087912087
653,-1,0.15513392857142858
654,0,
655,1,0.3734671125975474
656,2,0.17357762777242045
657,3,0.14431818181818182
658,4,0.10653409090909091
659,5,0.0
660,6,0.06666666666666667
661,7,0.03571428571428571
662,8,0.0
663,-8,0.027777777777777776
664,-7,0.0
665,-6,0.05252525252525253
666,-5,0.08596491228070176
667,-4,0.06683375104427736
668,-3,0.0619927536231884
669,-2,0.18307533539731682
670,-1,0.2563323201621074
671,0,
672,1,0.38650479954827777
673,2,0.06671610431343468
674,3,0.04051459293394777
675,4,0.03009259259259259
676,5,0.06266339869281046
677,6,0.0
678,7,0.0
679,8,0.0
680,-8,0.1416666666666667
681,-7,0.0
682,-6,0.03333333333333333
683,-5,0.014492753623188406
684,-4,0.11607142857142856
685,-3,0.09040616246498599
686,-2,0.18703703703703703
687,-1,0.3214170692431562
688,0,
689,1,0.13562091503267973
690,2,0.19004719004719006
691,3,0.0996078431372549
692,4,0.12962962962962962
693,5,0.013888888888888888
694,6,0.041666666666666664
695,7,0.0
696,8,0.041666666666666664
697,-8,0.0
698,-7,0.0
699,-6,0.0
700,-5,0.0
701,-4,0.045454545454545456
702,-3,0.0
703,-2,0.06666666666666667
704,-1,0.38235294117647056
705,0,
706,1,0.3076923076923077
707,2,0.12121212121212122
708,3,0.1111111111111111
709,4,0.0
710,5,0.06666666666666667
711,6,0.0
712,7,0.125
713,8,0.0
714,-8,0.07142857142857142
715,-7,0.0
716,-6,0.0
717,-5,0.05263157894736842
718,-4,0.041666666666666664
719,-3,0.02631578947368421
720,-2,0.2166416791604198
721,-1,0.27011494252873564
722,0,
723,1,0.3399621212121212
724,2,0.13333333333333333
725,3,0.059027777777777776
726,4,0.045454545454545456
