,subject,level_1,prob,sem_bin_mean,sem_bin
0,R1204T,0,0.20952380952380953,-0.0020500470021612605,0
1,R1204T,1,0.12121212121212122,0.032253826037049294,1
2,R1204T,2,0.15126050420168066,0.05774585819906659,2
3,R1204T,3,0.1206896551724138,0.0795447091971125,3
4,R1204T,4,0.1557377049180328,0.09632764991961028,4
5,R1204T,5,0.1794871794871795,0.11495795739548546,5
6,R1204T,6,0.18421052631578946,0.13663933035873232,6
7,R1204T,7,0.211864406779661,0.16719442903995513,7
8,R1204T,8,0.10619469026548672,0.21106834833820662,8
9,R1204T,9,0.1926605504587156,0.3222657101494925,9
10,R1501J,0,0.1566265060240964,-0.00713108425351003,0
11,R1501J,1,0.18181818181818182,0.032281025720294565,1
12,R1501J,2,0.13846153846153847,0.05694288374097259,2
13,R1501J,3,0.20967741935483872,0.0762034283998685,3
14,R1501J,4,0.14124293785310735,0.09551085770130158,4
15,R1501J,5,0.18032786885245902,0.11767662293983228,5
16,R1501J,6,0.15217391304347827,0.1386182318840708,6
17,R1501J,7,0.147239263803681,0.1655076015740633,7
18,R1501J,8,0.2,0.2032928867265582,8
19,R1501J,9,0.2222222222222222,0.34151731100347305,9
20,R1514E,0,0.14285714285714285,-0.01629497203975916,0
21,R1514E,1,0.21428571428571427,0.03759622325499853,1
22,R1514E,2,0.0625,0.06101352721452713,2
23,R1514E,3,0.10526315789473684,0.0787552036345005,3
24,R1514E,4,0.16666666666666666,0.09512725472450256,4
25,R1514E,5,0.19047619047619047,0.11747472360730171,5
26,R1514E,6,0.07142857142857142,0.1302206963300705,6
27,R1514E,7,0.11764705882352941,0.17677263170480728,7
28,R1514E,8,0.05555555555555555,0.21884243190288544,8
29,R1514E,9,0.375,0.31753964722156525,9
30,R1516E,0,0.16666666666666666,-0.004422301193699241,0
31,R1516E,1,0.09090909090909091,0.03421856835484505,1
32,R1516E,2,0.08333333333333333,0.05847746692597866,2
33,R1516E,3,0.13043478260869565,0.07082377622524898,3
34,R1516E,4,0.2222222222222222,0.09438964227835338,4
35,R1516E,5,0.043478260869565216,0.12236007302999496,5
