,subject,spos_bins,repeats,session,recalled,adj_rec
0,R1204T,1.0,1.0,0,0.0,0.0381481481481481
1,R1204T,2.0,1.0,0,0.3333333333333333,0.037462962962962976
2,R1204T,3.0,1.0,0,0.0,-0.08177777777777775
3,R1204T,4.0,1.0,0,0.25,0.25625462962962964
4,R1204T,5.0,1.0,0,0.25,-0.11173148148148149
5,R1204T,6.0,1.0,0,0.0,-0.04316203703703704
6,R1204T,7.0,1.0,0,0.25,0.14794444444444443
7,R1204T,8.0,1.0,0,0.16666666666666666,0.26018287037037036
8,R1204T,9.0,1.0,0,0.0,0.1288353174603175
9,R1204T,1.0,1.0,1,0.49444444444444446,0.5325925925925925
10,R1204T,2.0,1.0,1,0.5,0.20412962962962966
11,R1204T,3.0,1.0,1,0.16666666666666666,0.0848888888888889
12,R1204T,4.0,1.0,1,0.0,0.006254629629629624
13,R1204T,5.0,1.0,1,0.75,0.3882685185185185
14,R1204T,6.0,1.0,1,0.3333333333333333,0.2901712962962963
15,R1204T,7.0,1.0,1,0.25,0.14794444444444443
16,R1204T,8.0,1.0,1,0.125,0.21851620370370373
17,R1204T,9.0,1.0,1,0.375,0.5038353174603175
18,R1204T,1.0,1.0,2,0.0,0.0381481481481481
19,R1204T,2.0,1.0,2,0.375,0.07912962962962966
20,R1204T,3.0,1.0,2,0.25,0.16822222222222225
21,R1204T,4.0,1.0,2,0.0,0.006254629629629624
22,R1204T,5.0,1.0,2,0.3333333333333333,-0.028398148148148172
23,R1204T,6.0,1.0,2,0.13888888888888887,0.09572685185185183
24,R1204T,7.0,1.0,2,0.25,0.14794444444444443
25,R1204T,8.0,1.0,2,0.16666666666666666,0.26018287037037036
26,R1204T,9.0,1.0,2,0.6666666666666666,0.7955019841269841
27,R1204T,1.0,,3,,
28,R1204T,2.0,,3,,
29,R1204T,3.0,,3,,
30,R1204T,4.0,,3,,
31,R1204T,5.0,,3,,
32,R1204T,6.0,,3,,
33,R1204T,7.0,,3,,
34,R1204T,8.0,,3,,
35,R1204T,9.0,,3,,
36,R1204T,1.0,,4,,
37,R1204T,2.0,,4,,
38,R1204T,3.0,,4,,
39,R1204T,4.0,,4,,
40,R1204T,5.0,,4,,
41,R1204T,6.0,,4,,
42,R1204T,7.0,,4,,
43,R1204T,8.0,,4,,
44,R1204T,9.0,,4,,
45,R1204T,1.0,,5,,
46,R1204T,2.0,,5,,
47,R1204T,3.0,,5,,
48,R1204T,4.0,,5,,
49,R1204T,5.0,,5,,
50,R1204T,6.0,,5,,
51,R1204T,7.0,,5,,
52,R1204T,8.0,,5,,
53,R1204T,9.0,,5,,
54,R1204T,1.0,,6,,
55,R1204T,2.0,,6,,
56,R1204T,3.0,,6,,
57,R1204T,4.0,,6,,
58,R1204T,5.0,,6,,
59,R1204T,6.0,,6,,
60,R1204T,7.0,,6,,
61,R1204T,8.0,,6,,
62,R1204T,9.0,,6,,
63,R1501J,1.0,1.0,0,0.2222222222222222,0.2677777777777777
64,R1501J,2.0,1.0,0,0.0,0.023574074074074067
65,R1501J,3.0,1.0,0,0.3333333333333333,0.2793333333333333
66,R1501J,4.0,1.0,0,0.18333333333333335,0.16319907407407408
67,R1501J,5.0,1.0,0,0.16666666666666666,0.08271296296296296
68,R1501J,6.0,1.0,0,0.20000000000000004,0.09943055555555559
69,R1501J,7.0,1.0,0,0.0,0.14794444444444443
70,R1501J,8.0,1.0,0,0.475,0.31296064814814806
71,R1501J,9.0,1.0,0,0.6,0.7093908730158729
72,R1501J,1.0,1.0,1,0.08333333333333333,0.12888888888888883
73,R1501J,2.0,1.0,1,0.25,0.2735740740740741
74,R1501J,3.0,1.0,1,0.0,-0.054
75,R1501J,4.0,1.0,1,0.08333333333333333,0.06319907407407406
76,R1501J,5.0,1.0,1,0.3333333333333333,0.24937962962962962
77,R1501J,6.0,1.0,1,0.3611111111111111,0.26054166666666667
78,R1501J,7.0,1.0,1,0.0,0.14794444444444443
79,R1501J,8.0,1.0,1,0.375,0.2129606481481481
80,R1501J,9.0,1.0,1,0.25,0.35939087301587297
81,R1501J,1.0,1.0,2,0.16666666666666666,0.21222222222222217
82,R1501J,2.0,1.0,2,0.0,0.023574074074074067
83,R1501J,3.0,1.0,2,0.0,-0.054
84,R1501J,4.0,1.0,2,0.0625,0.04236574074074073
85,R1501J,5.0,1.0,2,0.0,-0.0839537037037037
86,R1501J,6.0,1.0,2,0.08333333333333333,-0.01723611111111112
87,R1501J,7.0,1.0,2,0.0,0.14794444444444443
88,R1501J,8.0,1.0,2,0.375,0.2129606481481481
89,R1501J,9.0,1.0,2,0.25,0.35939087301587297
90,R1501J,1.0,,3,,
91,R1501J,2.0,,3,,
92,R1501J,3.0,,3,,
93,R1501J,4.0,,3,,
94,R1501J,5.0,,3,,
95,R1501J,6.0,,3,,
96,R1501J,7.0,,3,,
97,R1501J,8.0,,3,,
98,R1501J,9.0,,3,,
99,R1501J,1.0,,4,,
100,R1501J,2.0,,4,,
101,R1501J,3.0,,4,,
102,R1501J,4.0,,4,,
103,R1501J,5.0,,4,,
104,R1501J,6.0,,4,,
105,R1501J,7.0,,4,,
106,R1501J,8.0,,4,,
107,R1501J,9.0,,4,,
108,R1501J,1.0,,5,,
109,R1501J,2.0,,5,,
110,R1501J,3.0,,5,,
111,R1501J,4.0,,5,,
112,R1501J,5.0,,5,,
113,R1501J,6.0,,5,,
114,R1501J,7.0,,5,,
115,R1501J,8.0,,5,,
116,R1501J,9.0,,5,,
117,R1501J,1.0,,6,,
118,R1501J,2.0,,6,,
119,R1501J,3.0,,6,,
120,R1501J,4.0,,6,,
121,R1501J,5.0,,6,,
122,R1501J,6.0,,6,,
123,R1501J,7.0,,6,,
124,R1501J,8.0,,6,,
125,R1501J,9.0,,6,,
126,R1514E,1.0,1.0,0,0.0,0.20296296296296293
127,R1514E,2.0,1.0,0,0.0,0.1069074074074074
128,R1514E,3.0,1.0,0,0.0,0.057111111111111106
129,R1514E,4.0,1.0,0,0.0,0.08958796296296295
130,R1514E,5.0,1.0,0,0.1111111111111111,0.08271296296296296
131,R1514E,6.0,1.0,0,0.0,0.11424537037037037
132,R1514E,7.0,1.0,0,0.0,0.14794444444444443
133,R1514E,8.0,1.0,0,0.08333333333333333,0.24629398148148146
134,R1514E,9.0,1.0,0,0.5,0.47605753968253967
135,R1514E,1.0,,1,,
136,R1514E,2.0,,1,,
137,R1514E,3.0,,1,,
138,R1514E,4.0,,1,,
139,R1514E,5.0,,1,,
140,R1514E,6.0,,1,,
141,R1514E,7.0,,1,,
142,R1514E,8.0,,1,,
143,R1514E,9.0,,1,,
144,R1514E,1.0,,2,,
145,R1514E,2.0,,2,,
146,R1514E,3.0,,2,,
147,R1514E,4.0,,2,,
148,R1514E,5.0,,2,,
149,R1514E,6.0,,2,,
