,index,lag,prob
0,18,-8,0.0
1,19,-7,0.0
2,20,-6,0.09375
3,21,-5,0.08823529411764706
4,22,-4,0.02127659574468085
5,23,-3,0.07017543859649122
6,24,-2,0.07936507936507936
7,25,-1,0.136986301369863
8,26,0,
9,27,1,0.375
10,28,2,0.18055555555555555
11,29,3,0.09836065573770492
12,30,4,0.03571428571428571
13,31,5,0.0
14,32,6,0.0
15,33,7,0.16666666666666666
16,34,8,0.0
17,18,-8,0.0
18,19,-7,0.0
19,20,-6,0.05555555555555555
20,21,-5,0.0
21,22,-4,0.0975609756097561
22,23,-3,0.07272727272727272
23,24,-2,0.11940298507462686
24,25,-1,0.22857142857142856
25,26,0,
26,27,1,0.3424657534246575
27,28,2,0.208955223880597
28,29,3,0.06779661016949153
29,30,4,0.0
30,31,5,0.05555555555555555
31,32,6,0.0
32,33,7,0.0
33,34,8,0.0
34,18,-8,0.06060606060606061
35,19,-7,0.02702702702702703
36,20,-6,0.04081632653061224
37,21,-5,0.034482758620689655
38,22,-4,0.05405405405405406
39,23,-3,0.07
40,24,-2,0.17543859649122806
41,25,-1,0.3170731707317073
42,26,0,
43,27,1,0.5130434782608696
44,28,2,0.12727272727272726
45,29,3,0.07526881720430108
46,30,4,0.0410958904109589
47,31,5,0.0
48,32,6,0.0
49,33,7,0.034482758620689655
50,34,8,0.1
51,18,-8,0.0
52,19,-7,0.09090909090909091
53,20,-6,0.047619047619047616
54,21,-5,0.03225806451612903
55,22,-4,0.058823529411764705
56,23,-3,0.0975609756097561
57,24,-2,0.058823529411764705
58,25,-1,0.32142857142857145
59,26,0,
60,27,1,0.26785714285714285
61,28,2,0.17857142857142858
62,29,3,0.021739130434782608
63,30,4,0.02857142857142857
64,31,5,0.0
65,32,6,0.0
66,33,7,0.058823529411764705
67,34,8,0.0
68,18,-8,0.0
69,19,-7,0.07692307692307693
70,20,-6,0.07407407407407407
71,21,-5,0.0
72,22,-4,0.05454545454545454
73,23,-3,0.08196721311475409
74,24,-2,0.06097560975609756
75,25,-1,0.25
76,26,0,
77,27,1,0.2839506172839506
78,28,2,0.18072289156626506
79,29,3,0.08571428571428572
80,30,4,0.08333333333333333
81,31,5,0.021739130434782608
82,32,6,0.045454545454545456
83,33,7,0.0625
84,34,8,0.14285714285714285
85,18,-8,0.0
86,19,-7,0.05555555555555555
87,20,-6,0.029411764705882353
88,21,-5,0.02040816326530612
89,22,-4,0.05454545454545454
90,23,-3,0.058823529411764705
91,24,-2,0.14814814814814814
92,25,-1,0.2717391304347826
93,26,0,
94,27,1,0.20224719101123595
95,28,2,0.1728395061728395
96,29,3,0.08860759493670886
97,30,4,0.125
98,31,5,0.05555555555555555
99,32,6,0.09375
100,33,7,0.0
101,34,8,0.05
102,18,-8,0.047619047619047616
103,19,-7,0.027777777777777776
104,20,-6,0.08571428571428572
105,21,-5,0.0
106,22,-4,0.07142857142857142
107,23,-3,0.06172839506172839
108,24,-2,0.0625
109,25,-1,0.2604166666666667
110,26,0,
111,27,1,0.4639175257731959
112,28,2,0.12087912087912088
113,29,3,0.0547945205479452
114,30,4,0.08333333333333333
115,31,5,0.04878048780487805
116,32,6,0.0
117,33,7,0.0
118,34,8,0.0
119,18,-8,0.045454545454545456
120,19,-7,0.0
121,20,-6,0.0
122,21,-5,0.023255813953488372
123,22,-4,0.06349206349206349
124,23,-3,0.07042253521126761
125,24,-2,0.15476190476190477
126,25,-1,0.29896907216494845
127,26,0,
128,27,1,0.33653846153846156
129,28,2,0.14736842105263157
130,29,3,0.12643678160919541
