,subject,level_1,prob,sem_bin_mean,sem_bin
0,MTK00007,0,0.12727272727272726,0.007782546404216971,0
1,MTK00007,1,0.25,0.03126549559334914,1
2,MTK00007,2,0.17543859649122806,0.05737813524901867,2
3,MTK00007,3,0.18333333333333332,0.07974215393716638,3
4,MTK00007,4,0.10606060606060606,0.09590655991009303,4
5,MTK00007,5,0.17543859649122806,0.11651821509003639,5
6,MTK00007,6,0.1509433962264151,0.13538584485650063,6
7,MTK00007,7,0.08,0.17028869688510895,7
8,MTK00007,8,0.22413793103448276,0.2078505536684623,8
9,MTK00007,9,0.2,0.35411078008738434,9
10,MTK00008,0,0.16363636363636364,-0.005188439416492151,0
11,MTK00008,1,0.09090909090909091,0.02976582795381546,1
12,MTK00008,2,0.1875,0.05679175785432259,2
13,MTK00008,3,0.21153846153846154,0.07931478253819725,3
14,MTK00008,4,0.25806451612903225,0.09741926146671176,4
15,MTK00008,5,0.07272727272727272,0.11514076963067055,5
16,MTK00008,6,0.07246376811594203,0.13768821954727173,6
17,MTK00008,7,0.21052631578947367,0.16729388386011124,7
18,MTK00008,8,0.08620689655172414,0.20370755791664125,8
19,MTK00008,9,0.36619718309859156,0.32723711087153506,9
20,MTK00011,0,0.19540229885057472,0.0034444807782111797,0
21,MTK00011,1,0.13333333333333333,0.035930453613400457,1
22,MTK00011,2,0.20270270270270271,0.058110387374957405,2
23,MTK00011,3,0.18823529411764706,0.07937555387616158,3
24,MTK00011,4,0.14473684210526316,0.0959403237158602,4
25,MTK00011,5,0.23529411764705882,0.11548390612006187,5
26,MTK00011,6,0.25,0.1367966646239871,6
27,MTK00011,7,0.23170731707317074,0.16449196244540967,7
28,MTK00011,8,0.24675324675324675,0.20106693396442815,8
29,MTK00011,9,0.26582278481012656,0.2864268443414143,9
30,MTK00012,0,0.03333333333333333,0.0019448737148195505,0
31,MTK00012,1,0.1891891891891892,0.030905925801822116,1
32,MTK00012,2,0.23255813953488372,0.05669922642409801,2
