,subject,level_1,prob,sem_bin_mean,sem_bin
0,LTP441,0,0.14932680538555693,-0.0045740247258466106,0
1,LTP441,1,0.17381228273464658,0.03442724088827769,1
2,LTP441,2,0.1903584672435105,0.05720469261241424,2
3,LTP441,3,0.18058968058968058,0.07754998669332387,3
4,LTP441,4,0.18346545866364666,0.09694984044741702,4
5,LTP441,5,0.1984216459977452,0.11463819947940382,5
6,LTP441,6,0.18,0.1385707898077622,6
7,LTP441,7,0.2115606936416185,0.16522714682941228,7
8,LTP441,8,0.2096969696969697,0.20633220741514527,8
9,LTP441,9,0.3181242078580482,0.31985146276266924,9
10,LTP442,0,0.20305052430886558,-0.007536395251051498,0
11,LTP442,1,0.19661921708185054,0.0341178664339209,1
12,LTP442,2,0.20411817367949867,0.056857939923933724,2
13,LTP442,3,0.2048401037165082,0.0767342215600396,3
14,LTP442,4,0.22445255474452555,0.09593087495342503,4
15,LTP442,5,0.2024977698483497,0.1164786906560087,5
16,LTP442,6,0.21549421193232413,0.13812840729951859,6
17,LTP442,7,0.2256913470115968,0.16582377867500772,7
18,LTP442,8,0.2551111111111111,0.2066650068718382,8
19,LTP442,9,0.3400576368876081,0.3197900251311771,9
20,LTP443,0,0.18522372528616024,-0.003778973873737373,0
21,LTP443,1,0.1988527724665392,0.03437784186994227,1
22,LTP443,2,0.1974050046339203,0.05753331666401294,2
23,LTP443,3,0.21448999046711154,0.07707825207047993,3
24,LTP443,4,0.199812382739212,0.09589135489413436,4
25,LTP443,5,0.21755027422303475,0.11612503083438433,5
26,LTP443,6,0.2123730378578024,0.13894997375166934,6
27,LTP443,7,0.23204419889502761,0.16561830510932302,7
28,LTP443,8,0.23529411764705882,0.20643283817030134,8
29,LTP443,9,0.309,0.31794855963065016,9
30,LTP444,0,0.20271493212669683,-0.004400959327962742,0
31,LTP444,1,0.20901994796183868,0.03461340917622153,1
32,LTP444,2,0.2147887323943662,0.05721490871405504,2
33,LTP444,3,0.1970074812967581,0.07726504311028412,3
34,LTP444,4,0.21441124780316345,0.09576260374828441,4
35,LTP444,5,0.2236842105263158,0.11582326722495696,5
36,LTP444,6,0.25748502994011974,0.13806286087859904,6
37,LTP444,7,0.24329159212880144,0.16573435007868445,7
38,LTP444,8,0.24489795918367346,0.20587947565144388,8
39,LTP444,9,0.3036837376460018,0.3080613733043332,9
40,LTP445,0,0.16195652173913044,-0.005527659928446265,0
41,LTP445,1,0.16594827586206898,0.033787322472539044,1
42,LTP445,2,0.17185821697099893,0.05690596008207649,2
43,LTP445,3,0.1671891327063741,0.07735880487598479,3
44,LTP445,4,0.17216494845360825,0.0960992482786407,4
45,LTP445,5,0.21713147410358566,0.11564971308369155,5
46,LTP445,6,0.1951219512195122,0.13757301421593066,6
47,LTP445,7,0.20663811563169165,0.16607709375687832,7
48,LTP445,8,0.2579582875960483,0.20424113292643364,8
49,LTP445,9,0.3852097130242826,0.3206434730643188,9
50,LTP446,0,0.16398104265402844,-0.006789713362032498,0
51,LTP446,1,0.17212347988774557,0.033930102434090295,1
52,LTP446,2,0.15723270440251572,0.057258774446589604,2
53,LTP446,3,0.19477006311992787,0.07699510668990789,3
54,LTP446,4,0.17533039647577092,0.09518738540273215,4
55,LTP446,5,0.21866897147796024,0.1160255515351597,5
56,LTP446,6,0.2191780821917808,0.137684617874523,6
57,LTP446,7,0.22536418166238217,0.1658429863221745,7
58,LTP446,8,0.25022261798753337,0.20630771478512108,8
59,LTP446,9,0.44018264840182647,0.3182507664954514,9
60,LTP447,0,0.16417910447761194,-0.005074702177931944,0
61,LTP447,1,0.17571297148114076,0.0348758061674877,1
62,LTP447,2,0.18034265103697025,0.057089277729392054,2
63,LTP447,3,0.18620689655172415,0.07713310592980296,3
64,LTP447,4,0.1996512641673932,0.09617071956656385,4
65,LTP447,5,0.1901893287435456,0.1154909301802044,5
66,LTP447,6,0.23519599666388658,0.1393304351479449,6
67,LTP447,7,0.21654929577464788,0.16631605966788968,7
68,LTP447,8,0.28400735294117646,0.2064139532907881,8
69,LTP447,9,0.40789473684210525,0.31999370957025186,9
