,subject,spos_bins,repeats,session,recalled,adj_rec
0,LTP441,1.0,1.0,0,0.611111111111111,0.674273116654069
1,LTP441,2.0,1.0,0,0.2222222222222222,0.32787666918619296
2,LTP441,3.0,1.0,0,0.5555555555555555,0.8311528407659359
3,LTP441,4.0,1.0,0,0.43333333333333335,0.757372763920383
4,LTP441,5.0,1.0,0,0.3611111111111111,0.7951927437641723
5,LTP441,6.0,1.0,0,0.25,0.5093877551020407
6,LTP441,7.0,1.0,0,0.41666666666666663,0.7489211703199798
7,LTP441,8.0,1.0,0,0.5388888888888889,0.7489430587049634
8,LTP441,9.0,1.0,0,1.0,1.0719860166288737
9,LTP441,1.0,,1,,
10,LTP441,2.0,,1,,
11,LTP441,3.0,,1,,
12,LTP441,4.0,,1,,
13,LTP441,5.0,,1,,
14,LTP441,6.0,,1,,
15,LTP441,7.0,,1,,
16,LTP441,8.0,,1,,
17,LTP441,9.0,,1,,
18,LTP441,1.0,1.0,2,0.7380952380952381,0.8012572436381961
19,LTP441,2.0,1.0,2,0.8333333333333334,0.9389877802973041
20,LTP441,3.0,1.0,2,0.2333333333333333,0.5089306185437138
21,LTP441,4.0,1.0,2,0.43333333333333335,0.757372763920383
22,LTP441,5.0,1.0,2,0.4666666666666666,0.9007482993197278
23,LTP441,6.0,1.0,2,0.8333333333333333,1.092721088435374
24,LTP441,7.0,1.0,2,0.3958333333333333,0.7280878369866465
25,LTP441,8.0,1.0,2,0.4444444444444444,0.6544986142605189
26,LTP441,9.0,1.0,2,0.8,0.8719860166288739
27,LTP441,1.0,1.0,3,1.0,1.0631620055429578
28,LTP441,2.0,1.0,3,0.6666666666666666,0.7723211136306374
29,LTP441,3.0,1.0,3,0.4444444444444444,0.7200417296548249
30,LTP441,4.0,1.0,3,0.4444444444444444,0.7684838750314941
31,LTP441,5.0,1.0,3,0.27777777777777773,0.7118594104308389
32,LTP441,6.0,1.0,3,0.25,0.5093877551020407
33,LTP441,7.0,1.0,3,0.5416666666666666,0.8739211703199798
34,LTP441,8.0,1.0,3,0.5555555555555555,0.76560972537163
35,LTP441,9.0,1.0,3,0.75,0.8219860166288738
36,LTP441,1.0,1.0,4,0.4444444444444444,0.5076064499874023
37,LTP441,2.0,1.0,4,0.7222222222222222,0.827876669186193
38,LTP441,3.0,1.0,4,0.35416666666666663,0.629763951877047
39,LTP441,4.0,1.0,4,0.4444444444444444,0.7684838750314941
40,LTP441,5.0,1.0,4,0.4166666666666667,0.8507482993197278
41,LTP441,6.0,1.0,4,0.45,0.7093877551020408
42,LTP441,7.0,1.0,4,0.5,0.8322545036533131
43,LTP441,8.0,1.0,4,0.5,0.7100541698160745
44,LTP441,9.0,1.0,4,0.9,0.9719860166288739
45,LTP441,1.0,1.0,5,0.875,0.9381620055429579
46,LTP441,2.0,1.0,5,0.7,0.8056544469639707
47,LTP441,3.0,1.0,5,0.41666666666666663,0.692263951877047
48,LTP441,4.0,1.0,5,0.5,0.8240394305870496
49,LTP441,5.0,1.0,5,0.08333333333333333,0.5174149659863945
50,LTP441,6.0,1.0,5,0.5333333333333333,0.7927210884353741
51,LTP441,7.0,1.0,5,0.375,0.7072545036533131
52,LTP441,8.0,1.0,5,0.6666666666666666,0.8767208364827411
53,LTP441,9.0,1.0,5,0.65,0.7219860166288739
54,LTP441,1.0,1.0,6,0.6666666666666666,0.7298286722096246
55,LTP441,2.0,1.0,6,0.7222222222222222,0.827876669186193
56,LTP441,3.0,1.0,6,0.2888888888888889,0.5644861740992694
57,LTP441,4.0,1.0,6,0.27777777777777773,0.6018172083648274
58,LTP441,5.0,1.0,6,0.3333333333333333,0.7674149659863945
59,LTP441,6.0,1.0,6,0.16666666666666666,0.42605442176870745
60,LTP441,7.0,1.0,6,0.3333333333333333,0.6655878369866465
61,LTP441,8.0,1.0,6,0.4761904761904762,0.6862446460065508
62,LTP441,9.0,1.0,6,0.875,0.9469860166288738
63,LTP441,1.0,1.0,7,0.8888888888888888,0.9520508944318468
64,LTP441,2.0,1.0,7,0.8888888888888888,0.9945433358528596
65,LTP441,3.0,1.0,7,0.875,1.1505972852103805
66,LTP441,4.0,1.0,7,0.75,1.0740394305870495
67,LTP441,5.0,1.0,7,0.611111111111111,1.0451927437641721
68,LTP441,6.0,1.0,7,0.6333333333333333,0.892721088435374
69,LTP441,7.0,1.0,7,0.75,1.082254503653313
70,LTP441,8.0,1.0,7,0.8055555555555555,1.0156097253716299
71,LTP441,9.0,1.0,7,0.8333333333333333,0.9053193499622071
72,LTP441,1.0,1.0,8,0.6666666666666666,0.7298286722096246
73,LTP441,2.0,1.0,8,0.25,0.35565444696397075
74,LTP441,3.0,1.0,8,0.19642857142857142,0.4720258566389519
75,LTP441,4.0,1.0,8,0.3333333333333333,0.657372763920383
76,LTP441,5.0,1.0,8,0.1111111111111111,0.5451927437641723
77,LTP441,6.0,1.0,8,0.8,1.0593877551020408
78,LTP441,7.0,1.0,8,0.3958333333333333,0.7280878369866465
79,LTP441,8.0,1.0,8,1.0,1.2100541698160745
